measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2007,2.74695694523e-05,7.00538705972e-05,2.2756892666e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2007,1.05413e-06,2.68828e-06,8.733e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2008,2.63542692756e-05,6.65327284967e-05,2.3152307565e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2008,9.9111e-07,2.50212e-06,8.707e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2009,2.34358875341e-05,5.96798808771e-05,1.910007245e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2009,8.6425e-07,2.20084e-06,7.044e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2010,2.28322296985e-05,7.04232822478e-05,1.963539142e-07
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2010,8.260999999999999e-07,2.548e-06,7.1e-09
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2011,2.54918941402e-05,6.87241462631e-05,1.6868163608e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2011,9.051900000000001e-07,2.44032e-06,5.99e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2012,2.65357212228e-05,7.11102730763e-05,2.2349459154e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2012,9.248100000000001e-07,2.47829e-06,7.789e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2013,2.6685053993e-05,6.86095088053e-05,2.5465477229e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2013,9.1283e-07,2.34695e-06,8.711e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2014,2.55870148257e-05,7.19469928492e-05,1.371529243e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2014,8.5925e-07,2.4160899999999998e-06,4.606e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2015,2.70083274026e-05,8.31742274529e-05,2.128292761e-07
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2015,8.9077e-07,2.7432e-06,7.019999999999999e-09
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2016,2.55036228626e-05,6.8384187557e-05,2.2359592316e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2016,8.2669e-07,2.21664e-06,7.248e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2017,2.64956928916e-05,7.00250362238e-05,2.698172139e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2017,8.4483e-07,2.23277e-06,8.603e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2018,2.58468038663e-05,8.41935253792e-05,1.8588317134e-06
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2018,8.112500000000001e-07,2.64255e-06,5.8340000000000005e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2019,2.55739018734e-05,9.79472004947e-05,5.72849587e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2019,7.9061e-07,3.02801e-06,1.7699999999999999e-09
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2020,2.6967327709e-05,0.0001067561025505,1.554581116e-07
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2020,8.2168e-07,3.2528e-06,4.74e-09
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,1,Number,2021,2.32979483853e-05,9.61800863254e-05,5.8673116e-08
1,Deaths,567,Utah,3,Both,22,All ages,329,Otitis media,380,Particulate matter pollution,3,Rate,2021,7.0002e-07,2.88988e-06,1.76e-09
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1990,34.93486272374458,79.6579977804691,2.8456401476408297
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1990,1.9789778395799997,4.51243829408,0.16119882411
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1991,34.34993372431693,75.92685065047104,3.1113611081910424
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1991,1.90838973749,4.21829118345,0.1728588374
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1992,34.83787027398805,75.13967135606649,3.144438929888153
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1992,1.8947235848400001,4.08661339961,0.17101626921
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1993,36.8745129964103,77.61369094480095,3.492874256144985
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1993,1.9605670342600001,4.1266129776,0.1857113102
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1994,37.47544897125381,77.80390815361115,3.8493814009700698
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1994,1.94584696962,4.03983149131,0.19987237883999998
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1995,38.431592826804,85.6538798318722,3.6361750125522354
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1995,1.94685918684,4.339035428240001,0.184200555
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1996,38.23092965908972,81.07858290505223,4.043551713462195
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1996,1.8878177760300001,4.0036062797300005,0.19966788333000002
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1997,40.44143614856589,82.29490222660814,4.574734640012472
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1997,1.94562957437,3.95919163216,0.22008958776
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1998,39.94757288369452,77.7843285832364,4.778486348600197
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,3,Rate,1998,1.87262264307,3.64629649478,0.22400113674
1,Deaths,567,Utah,3,Both,22,All ages,956,Respiratory infections and tuberculosis,85,Air pollution,1,Number,1999,36.03165452352126,68.29616785148399,4.120558554971333
